ID;Name;Condition;State;Price
1100001;Hotel 1;Econom+10 nights+BB;quote;134000RUB
1100001;Hotel 1;King Room+7 nights+AI;quote;84000RUB
1100001;Hotel 1;King Room+7 nights+BB;quote;60000RUB
1100001;Hotel 1;Standart Room+10 nights+BB;quote;166000RUB
1100001;Hotel 1;King Room+7 nights+AI;quote;22000RUB
1100002;Hotel 2;Econom+7 nights+BB;quote;196000RUB
1100002;Hotel 2;Standart Room+10 nights+BB;quote;59000RUB
1100002;Hotel 2;Econom+10 nights+BB;quote;162000RUB
1100002;Hotel 2;Econom+7 nights+AI;quote;10000RUB
1100002;Hotel 2;Standart Room+10 nights+AI;quote;47000RUB
1100003;Hotel 3;Standart Room+10 nights+AI;quote;11000RUB
1100003;Hotel 3;Standart Room+10 nights+BB;quote;140000RUB
1100003;Hotel 3;Econom+10 nights+AI;quote;28000RUB
1100004;Hotel 4;Standart Room+10 nights+AI;request;152000RUB
1100005;Hotel 5;King Room+7 nights+BB;quote;196000RUB
1100005;Hotel 5;Standart Room+10 nights+BB;quote;78000RUB
1100005;Hotel 5;Econom+7 nights+AI;quote;183000RUB
1100005;Hotel 5;King Room+7 nights+BB;quote;26000RUB
1100006;Hotel 6;Econom+7 nights+BB;quote;157000RUB
1100006;Hotel 6;King Room+7 nights+BB;quote;176000RUB
1100006;Hotel 6;King Room+10 nights+AI;quote;175000RUB
1100006;Hotel 6;Econom+10 nights+AI;quote;42000RUB
1100007;Hotel 7;King Room+7 nights+AI;quote;157000RUB
1100007;Hotel 7;Standart Room+7 nights+AI;quote;101000RUB
1100008;Hotel 8;King Room+10 nights+AI;quote;186000RUB
1100008;Hotel 8;King Room+10 nights+AI;quote;35000RUB
1100008;Hotel 8;King Room+10 nights+AI;quote;125000RUB
1100009;Hotel 9;Standart Room+7 nights+AI;request;83000RUB
1100010;Hotel 10;Standart Room+10 nights+AI;quote;72000RUB
1100010;Hotel 10;King Room+10 nights+BB;quote;163000RUB
1100010;Hotel 10;King Room+7 nights+BB;quote;164000RUB
1100010;Hotel 10;Econom+10 nights+BB;quote;139000RUB
1100010;Hotel 10;Econom+10 nights+BB;quote;94000RUB
1100011;Hotel 11;Econom+10 nights+BB;request;103000RUB
1100011;Hotel 11;Econom+10 nights+BB;request;159000RUB
1100011;Hotel 11;King Room+7 nights+AI;request;40000RUB
1100011;Hotel 11;Econom+7 nights+BB;request;105000RUB
1100011;Hotel 11;Standart Room+10 nights+AI;request;38000RUB
1100012;Hotel 12;King Room+7 nights+AI;quote;78000RUB
1100013;Hotel 13;King Room+10 nights+BB;request;88000RUB
1100013;Hotel 13;Econom+10 nights+AI;request;96000RUB
1100013;Hotel 13;Econom+10 nights+AI;request;72000RUB
1100013;Hotel 13;King Room+7 nights+BB;request;178000RUB
1100014;Hotel 14;Standart Room+7 nights+AI;quote;47000RUB
1100014;Hotel 14;King Room+7 nights+BB;quote;114000RUB
1100015;Hotel 15;Standart Room+7 nights+AI;quote;101000RUB
1100016;Hotel 16;King Room+7 nights+BB;request;169000RUB
1100016;Hotel 16;King Room+7 nights+AI;request;59000RUB
1100016;Hotel 16;King Room+7 nights+BB;request;142000RUB
1100016;Hotel 16;King Room+7 nights+BB;request;183000RUB
1100017;Hotel 17;Econom+7 nights+AI;quote;124000RUB
1100018;Hotel 18;Econom+7 nights+BB;request;44000RUB
1100019;Hotel 19;Econom+10 nights+AI;quote;193000RUB
1100020;Hotel 20;Econom+7 nights+BB;request;29000RUB
1100020;Hotel 20;King Room+7 nights+AI;request;169000RUB
1100020;Hotel 20;King Room+7 nights+BB;request;12000RUB
1100020;Hotel 20;Econom+7 nights+AI;request;189000RUB
1100020;Hotel 20;King Room+10 nights+BB;request;130000RUB
1100021;Hotel 21;Standart Room+7 nights+BB;request;70000RUB
1100022;Hotel 22;Standart Room+10 nights+BB;request;49000RUB
1100023;Hotel 23;King Room+10 nights+BB;quote;15000RUB
1100023;Hotel 23;King Room+7 nights+AI;quote;59000RUB
1100023;Hotel 23;King Room+7 nights+AI;quote;17000RUB
1100024;Hotel 24;Standart Room+10 nights+BB;request;65000RUB
1100024;Hotel 24;King Room+10 nights+BB;request;179000RUB
1100024;Hotel 24;King Room+7 nights+BB;request;186000RUB
1100025;Hotel 25;Standart Room+10 nights+AI;request;145000RUB
1100025;Hotel 25;Econom+7 nights+BB;request;131000RUB
1100025;Hotel 25;Econom+7 nights+AI;request;119000RUB
1100025;Hotel 25;Econom+10 nights+BB;request;38000RUB
1100025;Hotel 25;Econom+7 nights+BB;request;26000RUB
1100026;Hotel 26;Econom+10 nights+BB;request;55000RUB
1100026;Hotel 26;Standart Room+7 nights+AI;request;136000RUB
1100027;Hotel 27;Econom+7 nights+AI;quote;148000RUB
1100027;Hotel 27;King Room+7 nights+BB;quote;26000RUB
1100028;Hotel 28;Standart Room+10 nights+AI;quote;130000RUB
1100029;Hotel 29;Standart Room+10 nights+BB;quote;125000RUB
1100029;Hotel 29;King Room+7 nights+BB;quote;196000RUB
1100029;Hotel 29;Econom+10 nights+AI;quote;181000RUB
1100029;Hotel 29;Standart Room+7 nights+AI;quote;14000RUB
1100029;Hotel 29;King Room+10 nights+AI;quote;82000RUB
1100030;Hotel 30;King Room+7 nights+BB;request;54000RUB
1100030;Hotel 30;Standart Room+10 nights+BB;request;19000RUB
1100030;Hotel 30;King Room+7 nights+AI;request;87000RUB
1100031;Hotel 31;Standart Room+10 nights+BB;request;170000RUB
1100031;Hotel 31;Econom+10 nights+AI;request;78000RUB
1100031;Hotel 31;King Room+7 nights+BB;request;52000RUB
1100032;Hotel 32;Standart Room+10 nights+AI;quote;65000RUB
1100033;Hotel 33;Standart Room+10 nights+BB;quote;109000RUB
1100034;Hotel 34;King Room+10 nights+BB;quote;104000RUB
1100034;Hotel 34;Econom+10 nights+AI;quote;36000RUB
1100035;Hotel 35;Econom+10 nights+AI;request;117000RUB
1100035;Hotel 35;King Room+7 nights+AI;request;77000RUB
1100035;Hotel 35;Standart Room+10 nights+BB;request;21000RUB
1100035;Hotel 35;King Room+10 nights+BB;request;110000RUB
1100035;Hotel 35;Econom+7 nights+AI;request;132000RUB
1100036;Hotel 36;Econom+7 nights+BB;quote;174000RUB
1100036;Hotel 36;Econom+10 nights+AI;quote;146000RUB
1100037;Hotel 37;Econom+7 nights+BB;quote;128000RUB
1100037;Hotel 37;Standart Room+7 nights+AI;quote;48000RUB
1100038;Hotel 38;King Room+7 nights+AI;quote;105000RUB
1100039;Hotel 39;Standart Room+7 nights+AI;quote;196000RUB
1100040;Hotel 40;Standart Room+7 nights+AI;quote;17000RUB
1100040;Hotel 40;Standart Room+7 nights+AI;quote;112000RUB
1100040;Hotel 40;Econom+7 nights+BB;quote;31000RUB
1100040;Hotel 40;Econom+7 nights+BB;quote;160000RUB
1100040;Hotel 40;King Room+7 nights+AI;quote;87000RUB
1100041;Hotel 41;Standart Room+10 nights+BB;request;191000RUB
1100041;Hotel 41;Econom+10 nights+AI;request;170000RUB
1100041;Hotel 41;Econom+7 nights+AI;request;191000RUB
1100041;Hotel 41;Econom+10 nights+BB;request;17000RUB
1100042;Hotel 42;Standart Room+10 nights+AI;request;111000RUB
1100042;Hotel 42;King Room+7 nights+AI;request;23000RUB
1100042;Hotel 42;Standart Room+10 nights+BB;request;69000RUB
1100043;Hotel 43;Econom+10 nights+BB;request;113000RUB
1100043;Hotel 43;Econom+10 nights+AI;request;185000RUB
1100043;Hotel 43;King Room+7 nights+AI;request;86000RUB
1100044;Hotel 44;Econom+7 nights+BB;quote;63000RUB
1100044;Hotel 44;Standart Room+7 nights+BB;quote;192000RUB
1100045;Hotel 45;Econom+10 nights+BB;quote;47000RUB
1100045;Hotel 45;King Room+10 nights+AI;quote;15000RUB
1100045;Hotel 45;Standart Room+10 nights+BB;quote;169000RUB
1100045;Hotel 45;Econom+7 nights+BB;quote;89000RUB
1100046;Hotel 46;Econom+7 nights+BB;request;106000RUB
1100046;Hotel 46;Econom+7 nights+BB;request;191000RUB
1100047;Hotel 47;Econom+7 nights+BB;request;99000RUB
1100047;Hotel 47;King Room+10 nights+BB;request;193000RUB
1100048;Hotel 48;King Room+10 nights+AI;request;13000RUB
1100048;Hotel 48;Standart Room+7 nights+AI;request;112000RUB
1100048;Hotel 48;Econom+10 nights+BB;request;45000RUB
1100049;Hotel 49;King Room+7 nights+BB;request;138000RUB
1100049;Hotel 49;King Room+10 nights+AI;request;133000RUB
1100049;Hotel 49;Econom+7 nights+BB;request;55000RUB
1100050;Hotel 50;King Room+7 nights+BB;quote;78000RUB
1100050;Hotel 50;Econom+7 nights+BB;quote;103000RUB
1100050;Hotel 50;Econom+7 nights+AI;quote;163000RUB
1100050;Hotel 50;King Room+10 nights+BB;quote;83000RUB
1100050;Hotel 50;Econom+10 nights+BB;quote;85000RUB
1100051;Hotel 51;King Room+7 nights+BB;request;122000RUB
1100051;Hotel 51;King Room+10 nights+BB;request;79000RUB
1100052;Hotel 52;King Room+7 nights+AI;quote;14000RUB
1100052;Hotel 52;King Room+10 nights+BB;quote;73000RUB
1100052;Hotel 52;Standart Room+7 nights+AI;quote;159000RUB
1100052;Hotel 52;King Room+10 nights+BB;quote;34000RUB
1100053;Hotel 53;Econom+10 nights+AI;request;45000RUB
1100053;Hotel 53;Econom+7 nights+BB;request;112000RUB
1100053;Hotel 53;Econom+7 nights+AI;request;83000RUB
1100054;Hotel 54;Econom+7 nights+BB;request;116000RUB
1100054;Hotel 54;Econom+10 nights+AI;request;121000RUB
1100054;Hotel 54;Standart Room+10 nights+BB;request;111000RUB
1100054;Hotel 54;Standart Room+7 nights+AI;request;147000RUB
1100054;Hotel 54;King Room+7 nights+BB;request;82000RUB
1100055;Hotel 55;Standart Room+10 nights+AI;request;26000RUB
1100055;Hotel 55;Econom+7 nights+AI;request;73000RUB
1100055;Hotel 55;Standart Room+7 nights+AI;request;68000RUB
1100056;Hotel 56;Econom+10 nights+BB;quote;166000RUB
1100056;Hotel 56;Standart Room+10 nights+BB;quote;157000RUB
1100057;Hotel 57;Standart Room+10 nights+BB;request;82000RUB
1100058;Hotel 58;King Room+10 nights+BB;request;76000RUB
1100058;Hotel 58;Standart Room+7 nights+AI;request;90000RUB
1100059;Hotel 59;Econom+7 nights+AI;quote;188000RUB
1100060;Hotel 60;Econom+10 nights+AI;quote;142000RUB
1100060;Hotel 60;Econom+7 nights+AI;quote;76000RUB
1100060;Hotel 60;King Room+10 nights+BB;quote;34000RUB
1100060;Hotel 60;King Room+7 nights+AI;quote;15000RUB
1100061;Hotel 61;Econom+10 nights+AI;quote;121000RUB
1100061;Hotel 61;Standart Room+10 nights+BB;quote;117000RUB
1100061;Hotel 61;Econom+7 nights+BB;quote;151000RUB
1100061;Hotel 61;Standart Room+7 nights+AI;quote;109000RUB
1100062;Hotel 62;Econom+7 nights+AI;request;153000RUB
1100062;Hotel 62;King Room+7 nights+BB;request;47000RUB
1100062;Hotel 62;King Room+10 nights+BB;request;53000RUB
1100062;Hotel 62;Standart Room+7 nights+AI;request;200000RUB
1100063;Hotel 63;Econom+7 nights+AI;request;104000RUB
1100063;Hotel 63;King Room+7 nights+AI;request;47000RUB
1100064;Hotel 64;Econom+10 nights+BB;request;93000RUB
