ID;Name;Condition;State;Price
1100001;Hotel 1;Econom+7 nights+BB;quote;77000RUB
1100001;Hotel 1;Econom+7 nights+AI;quote;102000RUB
1100002;Hotel 2;Econom+7 nights+AI;quote;145000RUB
1100002;Hotel 2;Standart Room+10 nights+BB;quote;180000RUB
1100002;Hotel 2;Econom+10 nights+AI;quote;114000RUB
1100003;Hotel 3;King Room+10 nights+AI;quote;181000RUB
1100003;Hotel 3;King Room+10 nights+AI;quote;196000RUB
1100004;Hotel 4;Econom+7 nights+BB;request;120000RUB
1100004;Hotel 4;Standart Room+10 nights+AI;request;169000RUB
1100004;Hotel 4;Econom+7 nights+BB;request;186000RUB
1100005;Hotel 5;Standart Room+10 nights+BB;quote;69000RUB
1100005;Hotel 5;Standart Room+10 nights+BB;quote;195000RUB
1100005;Hotel 5;Econom+10 nights+BB;quote;134000RUB
1100005;Hotel 5;Standart Room+10 nights+AI;quote;168000RUB
1100006;Hotel 6;Econom+10 nights+BB;request;95000RUB
1100006;Hotel 6;Econom+10 nights+AI;request;152000RUB
1100007;Hotel 7;Econom+10 nights+AI;quote;139000RUB
1100007;Hotel 7;King Room+7 nights+AI;quote;128000RUB
1100007;Hotel 7;King Room+7 nights+AI;quote;24000RUB
1100007;Hotel 7;King Room+10 nights+AI;quote;108000RUB
1100008;Hotel 8;Standart Room+10 nights+BB;request;45000RUB
1100008;Hotel 8;Standart Room+7 nights+BB;request;66000RUB
1100008;Hotel 8;King Room+10 nights+BB;request;181000RUB
1100008;Hotel 8;Econom+7 nights+BB;request;57000RUB
1100009;Hotel 9;Standart Room+7 nights+BB;quote;76000RUB
1100010;Hotel 10;King Room+10 nights+AI;request;67000RUB
1100010;Hotel 10;Standart Room+10 nights+AI;request;47000RUB
1100010;Hotel 10;Econom+7 nights+AI;request;152000RUB
1100010;Hotel 10;Econom+10 nights+BB;request;39000RUB
1100011;Hotel 11;Standart Room+7 nights+AI;quote;52000RUB
1100011;Hotel 11;Econom+7 nights+AI;quote;181000RUB
1100011;Hotel 11;Econom+10 nights+AI;quote;40000RUB
1100012;Hotel 12;Standart Room+10 nights+BB;quote;22000RUB
1100012;Hotel 12;Econom+10 nights+BB;quote;95000RUB
1100012;Hotel 12;Standart Room+10 nights+AI;quote;30000RUB
1100012;Hotel 12;Econom+7 nights+AI;quote;32000RUB
1100013;Hotel 13;Econom+7 nights+BB;quote;77000RUB
1100013;Hotel 13;Standart Room+10 nights+AI;quote;61000RUB
1100014;Hotel 14;Standart Room+7 nights+BB;request;117000RUB
1100014;Hotel 14;Econom+10 nights+AI;request;200000RUB
1100014;Hotel 14;Econom+7 nights+AI;request;91000RUB
1100014;Hotel 14;King Room+7 nights+AI;request;68000RUB
1100015;Hotel 15;Econom+10 nights+BB;request;114000RUB
1100015;Hotel 15;Econom+10 nights+AI;request;171000RUB
1100015;Hotel 15;Standart Room+10 nights+AI;request;112000RUB
1100015;Hotel 15;Econom+10 nights+AI;request;103000RUB
1100015;Hotel 15;King Room+7 nights+BB;request;95000RUB
1100016;Hotel 16;Econom+10 nights+BB;request;88000RUB
1100016;Hotel 16;Standart Room+7 nights+BB;request;127000RUB
1100016;Hotel 16;King Room+7 nights+BB;request;174000RUB
1100017;Hotel 17;King Room+10 nights+BB;request;108000RUB
1100018;Hotel 18;Standart Room+10 nights+BB;quote;152000RUB
1100018;Hotel 18;King Room+7 nights+AI;quote;165000RUB
1100018;Hotel 18;Standart Room+10 nights+AI;quote;193000RUB
1100018;Hotel 18;Econom+7 nights+BB;quote;98000RUB
1100018;Hotel 18;Econom+10 nights+AI;quote;72000RUB
1100019;Hotel 19;King Room+7 nights+AI;request;178000RUB
1100020;Hotel 20;King Room+10 nights+BB;request;64000RUB
1100020;Hotel 20;King Room+10 nights+AI;request;144000RUB
1100020;Hotel 20;Standart Room+10 nights+AI;request;113000RUB
