ID;Name;Condition;State;Price
1100001;Hotel 1;Standart Room+10 nights+AI;request;99000RUB
1100002;Hotel 2;King Room+10 nights+AI;request;107000RUB
1100002;Hotel 2;Econom+7 nights+BB;request;14000RUB
1100002;Hotel 2;King Room+10 nights+AI;request;48000RUB
1100002;Hotel 2;Econom+10 nights+AI;request;172000RUB
1100002;Hotel 2;King Room+7 nights+AI;request;104000RUB
1100003;Hotel 3;Econom+7 nights+BB;request;102000RUB
1100003;Hotel 3;King Room+7 nights+BB;request;198000RUB
1100004;Hotel 4;Econom+10 nights+AI;request;71000RUB
1100004;Hotel 4;Standart Room+7 nights+AI;request;146000RUB
1100004;Hotel 4;King Room+7 nights+AI;request;106000RUB
1100004;Hotel 4;Econom+10 nights+AI;request;32000RUB
1100004;Hotel 4;King Room+10 nights+AI;request;172000RUB
1100005;Hotel 5;Standart Room+10 nights+AI;request;114000RUB
1100005;Hotel 5;King Room+7 nights+BB;request;39000RUB
1100006;Hotel 6;Econom+7 nights+AI;request;78000RUB
1100006;Hotel 6;Econom+7 nights+AI;request;148000RUB
1100007;Hotel 7;King Room+10 nights+AI;quote;161000RUB
1100007;Hotel 7;King Room+7 nights+AI;quote;18000RUB
1100007;Hotel 7;King Room+7 nights+AI;quote;173000RUB
1100007;Hotel 7;King Room+10 nights+BB;quote;23000RUB
1100007;Hotel 7;Econom+7 nights+AI;quote;12000RUB
1100008;Hotel 8;Standart Room+10 nights+BB;quote;190000RUB
1100008;Hotel 8;Standart Room+10 nights+AI;quote;183000RUB
1100009;Hotel 9;Econom+10 nights+BB;request;139000RUB
1100009;Hotel 9;Standart Room+7 nights+BB;request;93000RUB
1100009;Hotel 9;Standart Room+10 nights+BB;request;108000RUB
1100009;Hotel 9;Econom+10 nights+BB;request;31000RUB
1100010;Hotel 10;Standart Room+7 nights+BB;request;50000RUB
1100010;Hotel 10;Standart Room+7 nights+BB;request;109000RUB
1100010;Hotel 10;Econom+7 nights+AI;request;24000RUB
1100011;Hotel 11;Standart Room+7 nights+AI;request;153000RUB
1100012;Hotel 12;Standart Room+7 nights+AI;request;41000RUB
1100012;Hotel 12;Econom+10 nights+AI;request;47000RUB
1100013;Hotel 13;King Room+10 nights+AI;quote;14000RUB
1100014;Hotel 14;Standart Room+10 nights+AI;quote;170000RUB
1100014;Hotel 14;Econom+10 nights+BB;quote;77000RUB
1100014;Hotel 14;King Room+7 nights+AI;quote;100000RUB
1100015;Hotel 15;Standart Room+7 nights+AI;quote;13000RUB
1100015;Hotel 15;Econom+10 nights+AI;quote;184000RUB
1100016;Hotel 16;Econom+10 nights+BB;request;41000RUB
1100017;Hotel 17;Econom+7 nights+AI;quote;157000RUB
1100017;Hotel 17;Econom+7 nights+AI;quote;70000RUB
1100017;Hotel 17;Standart Room+10 nights+AI;quote;106000RUB
1100017;Hotel 17;Econom+10 nights+BB;quote;188000RUB
1100018;Hotel 18;King Room+10 nights+AI;quote;52000RUB
1100018;Hotel 18;King Room+10 nights+AI;quote;62000RUB
1100018;Hotel 18;Standart Room+10 nights+BB;quote;124000RUB
1100018;Hotel 18;King Room+7 nights+BB;quote;31000RUB
1100018;Hotel 18;King Room+10 nights+AI;quote;34000RUB
1100019;Hotel 19;Standart Room+10 nights+AI;request;48000RUB
1100019;Hotel 19;Standart Room+10 nights+BB;request;179000RUB
1100019;Hotel 19;Econom+7 nights+AI;request;166000RUB
1100019;Hotel 19;Econom+10 nights+AI;request;199000RUB
1100019;Hotel 19;King Room+10 nights+AI;request;16000RUB
1100020;Hotel 20;Standart Room+10 nights+BB;request;38000RUB
1100020;Hotel 20;King Room+10 nights+AI;request;96000RUB
1100020;Hotel 20;Econom+7 nights+AI;request;196000RUB
1100020;Hotel 20;Standart Room+10 nights+AI;request;123000RUB
1100021;Hotel 21;Econom+10 nights+BB;request;93000RUB
1100021;Hotel 21;King Room+10 nights+BB;request;62000RUB
1100022;Hotel 22;King Room+7 nights+AI;quote;46000RUB
1100022;Hotel 22;King Room+7 nights+BB;quote;59000RUB
1100022;Hotel 22;Econom+7 nights+AI;quote;30000RUB
1100022;Hotel 22;King Room+7 nights+BB;quote;117000RUB
1100023;Hotel 23;King Room+7 nights+AI;quote;172000RUB
1100023;Hotel 23;King Room+7 nights+BB;quote;26000RUB
1100024;Hotel 24;Econom+7 nights+AI;quote;170000RUB
1100024;Hotel 24;Standart Room+7 nights+AI;quote;109000RUB
1100025;Hotel 25;Standart Room+7 nights+AI;request;98000RUB
1100025;Hotel 25;Standart Room+7 nights+AI;request;186000RUB
1100025;Hotel 25;Standart Room+10 nights+BB;request;156000RUB
1100025;Hotel 25;King Room+7 nights+BB;request;156000RUB
1100026;Hotel 26;Econom+10 nights+BB;request;172000RUB
1100026;Hotel 26;Econom+7 nights+BB;request;176000RUB
1100027;Hotel 27;Standart Room+7 nights+BB;quote;98000RUB
1100027;Hotel 27;Standart Room+10 nights+AI;quote;45000RUB
1100027;Hotel 27;King Room+10 nights+BB;quote;192000RUB
1100028;Hotel 28;King Room+7 nights+AI;request;18000RUB
1100028;Hotel 28;Standart Room+10 nights+BB;request;160000RUB
1100029;Hotel 29;Econom+10 nights+BB;quote;106000RUB
1100029;Hotel 29;Econom+7 nights+BB;quote;89000RUB
1100029;Hotel 29;King Room+7 nights+AI;quote;57000RUB
1100030;Hotel 30;King Room+10 nights+BB;request;107000RUB
1100030;Hotel 30;Standart Room+10 nights+AI;request;113000RUB
1100031;Hotel 31;Standart Room+10 nights+BB;quote;38000RUB
1100032;Hotel 32;Standart Room+10 nights+BB;quote;164000RUB
1100032;Hotel 32;Standart Room+7 nights+AI;quote;177000RUB
1100032;Hotel 32;Econom+10 nights+BB;quote;22000RUB
1100033;Hotel 33;Standart Room+10 nights+BB;request;51000RUB
1100033;Hotel 33;Standart Room+10 nights+BB;request;104000RUB
1100034;Hotel 34;Standart Room+7 nights+AI;request;77000RUB
1100034;Hotel 34;Standart Room+7 nights+BB;request;163000RUB
1100035;Hotel 35;Econom+10 nights+BB;request;189000RUB
1100036;Hotel 36;Econom+7 nights+BB;quote;30000RUB
1100036;Hotel 36;King Room+10 nights+AI;quote;118000RUB
1100036;Hotel 36;Econom+10 nights+BB;quote;140000RUB
1100036;Hotel 36;Standart Room+10 nights+AI;quote;76000RUB
1100037;Hotel 37;Econom+7 nights+BB;request;170000RUB
1100037;Hotel 37;King Room+7 nights+AI;request;156000RUB
1100038;Hotel 38;Standart Room+10 nights+AI;quote;146000RUB
1100038;Hotel 38;Econom+7 nights+AI;quote;60000RUB
