ID;Name;Condition;State;Price
1100001;Hotel 1;King Room+7 nights+BB;quote;19000RUB
1100001;Hotel 1;Standart Room+7 nights+BB;quote;122000RUB
1100001;Hotel 1;Econom+10 nights+AI;quote;152000RUB
1100001;Hotel 1;King Room+7 nights+AI;quote;63000RUB
1100001;Hotel 1;Econom+10 nights+AI;quote;40000RUB
1100002;Hotel 2;Standart Room+10 nights+AI;request;29000RUB
1100002;Hotel 2;Standart Room+7 nights+AI;request;62000RUB
1100002;Hotel 2;Standart Room+7 nights+BB;request;30000RUB
1100002;Hotel 2;Econom+10 nights+AI;request;95000RUB
1100003;Hotel 3;Econom+10 nights+AI;quote;44000RUB
1100003;Hotel 3;King Room+10 nights+BB;quote;27000RUB
1100003;Hotel 3;Standart Room+10 nights+AI;quote;134000RUB
1100003;Hotel 3;Econom+10 nights+AI;quote;85000RUB
1100003;Hotel 3;King Room+7 nights+BB;quote;168000RUB
1100004;Hotel 4;Standart Room+7 nights+AI;quote;114000RUB
1100004;Hotel 4;Econom+7 nights+BB;quote;158000RUB
1100004;Hotel 4;Econom+10 nights+AI;quote;100000RUB
1100004;Hotel 4;King Room+7 nights+AI;quote;193000RUB
1100004;Hotel 4;Econom+7 nights+BB;quote;30000RUB
1100005;Hotel 5;King Room+7 nights+AI;quote;154000RUB
1100005;Hotel 5;Econom+10 nights+AI;quote;120000RUB
1100005;Hotel 5;King Room+7 nights+AI;quote;27000RUB
1100006;Hotel 6;Standart Room+10 nights+AI;quote;193000RUB
1100006;Hotel 6;King Room+7 nights+AI;quote;24000RUB
1100006;Hotel 6;Standart Room+10 nights+AI;quote;197000RUB
1100007;Hotel 7;Econom+7 nights+AI;request;91000RUB
1100008;Hotel 8;Standart Room+7 nights+BB;quote;171000RUB
1100008;Hotel 8;Standart Room+10 nights+AI;quote;54000RUB
1100008;Hotel 8;Econom+7 nights+BB;quote;198000RUB
1100008;Hotel 8;Standart Room+10 nights+BB;quote;85000RUB
1100008;Hotel 8;King Room+7 nights+AI;quote;140000RUB
1100009;Hotel 9;Standart Room+10 nights+AI;request;115000RUB
1100009;Hotel 9;Econom+10 nights+BB;request;50000RUB
1100010;Hotel 10;Standart Room+10 nights+AI;request;55000RUB
1100010;Hotel 10;King Room+7 nights+AI;request;33000RUB
1100010;Hotel 10;Econom+10 nights+AI;request;170000RUB
1100010;Hotel 10;Standart Room+7 nights+BB;request;112000RUB
1100010;Hotel 10;Econom+7 nights+BB;request;97000RUB
1100011;Hotel 11;King Room+7 nights+BB;request;148000RUB
1100012;Hotel 12;King Room+7 nights+AI;request;11000RUB
1100012;Hotel 12;Econom+7 nights+AI;request;103000RUB
1100013;Hotel 13;Econom+7 nights+AI;request;117000RUB
1100013;Hotel 13;King Room+10 nights+BB;request;138000RUB
1100013;Hotel 13;Econom+7 nights+AI;request;86000RUB
1100013;Hotel 13;King Room+10 nights+AI;request;112000RUB
1100014;Hotel 14;Standart Room+10 nights+AI;request;170000RUB
1100014;Hotel 14;Standart Room+10 nights+AI;request;129000RUB
1100015;Hotel 15;King Room+7 nights+AI;request;171000RUB
1100015;Hotel 15;Econom+7 nights+AI;request;118000RUB
1100016;Hotel 16;Econom+10 nights+BB;quote;166000RUB
1100016;Hotel 16;Standart Room+10 nights+AI;quote;21000RUB
1100016;Hotel 16;Standart Room+10 nights+AI;quote;143000RUB
1100017;Hotel 17;Standart Room+7 nights+BB;request;34000RUB
1100017;Hotel 17;King Room+7 nights+BB;request;163000RUB
1100017;Hotel 17;Standart Room+10 nights+AI;request;56000RUB
1100018;Hotel 18;Standart Room+10 nights+AI;quote;138000RUB
1100018;Hotel 18;Standart Room+10 nights+BB;quote;115000RUB
1100018;Hotel 18;Econom+7 nights+AI;quote;76000RUB
1100018;Hotel 18;Econom+7 nights+AI;quote;134000RUB
1100018;Hotel 18;Econom+10 nights+BB;quote;160000RUB
1100019;Hotel 19;King Room+10 nights+AI;quote;194000RUB
1100020;Hotel 20;Standart Room+7 nights+BB;quote;69000RUB
1100020;Hotel 20;Econom+10 nights+AI;quote;171000RUB
1100020;Hotel 20;King Room+10 nights+BB;quote;183000RUB
1100020;Hotel 20;Econom+10 nights+BB;quote;119000RUB
1100020;Hotel 20;King Room+7 nights+BB;quote;105000RUB
1100021;Hotel 21;Econom+7 nights+AI;quote;89000RUB
1100021;Hotel 21;King Room+10 nights+BB;quote;189000RUB
1100021;Hotel 21;King Room+7 nights+BB;quote;24000RUB
1100021;Hotel 21;Econom+7 nights+BB;quote;68000RUB
1100021;Hotel 21;King Room+10 nights+AI;quote;152000RUB
1100022;Hotel 22;Standart Room+7 nights+BB;request;179000RUB
1100022;Hotel 22;King Room+7 nights+BB;request;22000RUB
1100022;Hotel 22;Standart Room+10 nights+AI;request;71000RUB
1100023;Hotel 23;Standart Room+7 nights+BB;quote;66000RUB
1100023;Hotel 23;Econom+10 nights+AI;quote;172000RUB
1100023;Hotel 23;Econom+7 nights+AI;quote;66000RUB
1100023;Hotel 23;Standart Room+7 nights+BB;quote;90000RUB
1100023;Hotel 23;King Room+10 nights+BB;quote;53000RUB
1100024;Hotel 24;King Room+10 nights+BB;request;19000RUB
1100024;Hotel 24;Econom+7 nights+AI;request;164000RUB
1100024;Hotel 24;Standart Room+10 nights+BB;request;200000RUB
1100024;Hotel 24;Econom+10 nights+BB;request;67000RUB
1100025;Hotel 25;Econom+10 nights+AI;request;74000RUB
1100025;Hotel 25;King Room+10 nights+BB;request;58000RUB
1100025;Hotel 25;King Room+10 nights+BB;request;124000RUB
